Year,LocationAbbr,LocationDesc,DataSource,Category,Indicator,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Number,WeightedNumber,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,CategoryID,IndicatorID,LocationID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2
2022,PA,Pennsylvania,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,13.8,13.8,,,12.2,15.6,563,1350333,Overall,Overall,,,DISEST,STATTYPE,42,Q6COG,AGEADJPREV,CAT1,BO1,,
2022,NJ,New Jersey,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,76.9,76.9,,,75.4,78.3,5535,4879387,Overall,Overall,,,DISEST,STATTYPE,34,Q6DIS2,AGEADJPREV,CAT1,BO1,,
2022,LA,Louisiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,16.4,16.4,,,15.3,17.7,1136,617759,Overall,Overall,,,DISEST,STATTYPE,22,Q6MOB,AGEADJPREV,CAT1,BO1,,
2022,AR,Arkansas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,11.0,11.0,,,9.8,12.3,537,237624,Overall,Overall,,,DISEST,STATTYPE,05,Q6IND,AGEADJPREV,CAT1,BO1,,
2022,WY,Wyoming,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,28.2,28.2,,,26.3,30.2,1288,127885,Overall,Overall,,,DISEST,STATTYPE,56,Q6DIS1,AGEADJPREV,CAT1,BO1,,
2022,AK,Alaska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,10.1,10.1,,,9.2,11.1,745,55712,Overall,Overall,,,DISEST,STATTYPE,02,Q6MOB,AGEADJPREV,CAT1,BO1,,
2022,MD,Maryland,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,6.0,6.0,,,5.4,6.8,1020,276824,Overall,Overall,,,DISEST,STATTYPE,24,Q6IND,AGEADJPREV,CAT1,BO1,,
2022,GU,Guam,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,13.1,13.1,,,10.6,16.1,260,13565,Overall,Overall,,,DISEST,STATTYPE,66,Q6COG,AGEADJPREV,CAT1,BO1,,
2022,MA,Massachusetts,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,4.9,4.9,,,4.3,5.6,526,277427,Overall,Overall,,,DISEST,STATTYPE,25,Q6VIS,AGEADJPREV,CAT1,BO1,,
2022,WV,West Virginia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,6.3,6.3,,,5.5,7.2,376,98700,Overall,Overall,,,DISEST,STATTYPE,54,Q6VIS,AGEADJPREV,CAT1,BO1,,
2022,UT,Utah,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,73.3,73.3,,,72.0,74.5,6621,1668577,Overall,Overall,,,DISEST,STATTYPE,49,Q6DIS2,AGEADJPREV,CAT1,BO1,,
2022,ND,North Dakota,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,25.6,25.6,,,24.0,27.3,1200,155298,Overall,Overall,,,DISEST,STATTYPE,38,Q6DIS1,AGEADJPREV,CAT1,BO1,,
2022,NC,North Carolina,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,13.9,13.9,,,12.6,15.4,662,1269913,Overall,Overall,,,DISEST,STATTYPE,37,Q6MOB,AGEADJPREV,CAT1,BO1,,
2022,OH,Ohio,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,9.1,9.1,,,8.4,9.9,1431,793708,Overall,Overall,,,DISEST,STATTYPE,39,Q6IND,AGEADJPREV,CAT1,BO1,,
2022,SD,South Dakota,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.1,3.1,,,2.2,4.4,257,23016,Overall,Overall,,,DISEST,STATTYPE,46,Q6SEL,AGEADJPREV,CAT1,BO1,,
2022,CT,Connecticut,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,12.0,12.0,,,10.9,13.2,898,297727,Overall,Overall,,,DISEST,STATTYPE,09,Q6COG,AGEADJPREV,CAT1,BO1,,
2022,OR,Oregon,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,6.2,6.2,,,5.5,7.0,454,244583,Overall,Overall,,,DISEST,STATTYPE,41,Q6HEAR,AGEADJPREV,CAT1,BO1,,
2022,MD,Maryland,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,24.0,24.0,,,22.9,25.2,4349,1107766,Overall,Overall,,,DISEST,STATTYPE,24,Q6DIS1,AGEADJPREV,CAT1,BO1,,
2022,MN,Minnesota,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,24.9,24.9,,,24.0,25.9,4210,1095390,Overall,Overall,,,DISEST,STATTYPE,27,Q6DIS1,AGEADJPREV,CAT1,BO1,,
2022,HHS6,HHS Region 6,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,6.6,6.6,,,6.1,7.2,2487,2103493,Overall,Overall,,,DISEST,STATTYPE,85,Q6VIS,AGEADJPREV,CAT1,BO1,,
2022,MI,Michigan,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,6.4,6.4,,,5.8,7.0,905,562023,Overall,Overall,,,DISEST,STATTYPE,26,Q6HEAR,AGEADJPREV,CAT1,BO1,,
2022,HHS8,HHS Region 8,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,74.5,74.5,,,73.8,75.1,28125,6748275,Overall,Overall,,,DISEST,STATTYPE,87,Q6DIS2,AGEADJPREV,CAT1,BO1,,
2022,ID,Idaho,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,69.7,69.7,,,68.2,71.1,4093,986888,Overall,Overall,,,DISEST,STATTYPE,16,Q6DIS2,AGEADJPREV,CAT1,BO1,,
2022,HHS2,HHS Region 2,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,5.3,5.3,,,5.0,5.7,2188,1472836,Overall,Overall,,,DISEST,STATTYPE,81,Q6HEAR,AGEADJPREV,CAT1,BO1,,
2022,HHS5,HHS Region 5,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,7.9,7.9,,,7.5,8.3,4992,3117523,Overall,Overall,,,DISEST,STATTYPE,84,Q6IND,AGEADJPREV,CAT1,BO1,,
2022,MT,Montana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.0,3.0,,,2.5,3.5,236,27649,Overall,Overall,,,DISEST,STATTYPE,30,Q6SEL,AGEADJPREV,CAT1,BO1,,
2022,HHS8,HHS Region 8,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,9.3,9.3,,,8.9,9.8,5380,926263,Overall,Overall,,,DISEST,STATTYPE,87,Q6MOB,AGEADJPREV,CAT1,BO1,,
2022,HHS10,HHS Region 10,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,7.6,7.6,,,7.2,8.1,3042,848972,Overall,Overall,,,DISEST,STATTYPE,89,Q6IND,AGEADJPREV,CAT1,BO1,,
