country_code,region,year,hale_years
AFG,Eastern Mediterranean,2000,46.0
AFG,Eastern Mediterranean,2001,46.1
AFG,Eastern Mediterranean,2002,47.2
AFG,Eastern Mediterranean,2003,48.0
AFG,Eastern Mediterranean,2004,48.3
AFG,Eastern Mediterranean,2005,48.6
AFG,Eastern Mediterranean,2006,48.8
AFG,Eastern Mediterranean,2007,49.0
AFG,Eastern Mediterranean,2008,49.5
AFG,Eastern Mediterranean,2009,50.1
AFG,Eastern Mediterranean,2010,50.5
AFG,Eastern Mediterranean,2011,50.9
AFG,Eastern Mediterranean,2012,51.3
AFG,Eastern Mediterranean,2013,51.7
AFG,Eastern Mediterranean,2014,51.7
AFG,Eastern Mediterranean,2015,51.6
AFG,Eastern Mediterranean,2016,51.7
AFG,Eastern Mediterranean,2017,52.0
AFG,Eastern Mediterranean,2018,51.7
AFG,Eastern Mediterranean,2019,52.3
AFG,Eastern Mediterranean,2020,51.7
AFG,Eastern Mediterranean,2021,50.4
AGO,Africa,2000,42.8
AGO,Africa,2001,43.4
AGO,Africa,2002,44.3
AGO,Africa,2003,44.9
AGO,Africa,2004,45.4
AGO,Africa,2005,46.3
AGO,Africa,2006,47.1
AGO,Africa,2007,48.0
AGO,Africa,2008,48.8
AGO,Africa,2009,49.6
AGO,Africa,2010,50.4
AGO,Africa,2011,51.1
AGO,Africa,2012,51.7
AGO,Africa,2013,52.3
AGO,Africa,2014,53.1
AGO,Africa,2015,53.5
AGO,Africa,2016,53.7
AGO,Africa,2017,53.9
AGO,Africa,2018,54.1
AGO,Africa,2019,54.3
AGO,Africa,2020,54.3
AGO,Africa,2021,53.8
ALB,Europe,2000,64.5
ALB,Europe,2001,66.2
ALB,Europe,2002,65.9
ALB,Europe,2003,65.5
ALB,Europe,2004,65.9
ALB,Europe,2005,65.0
ALB,Europe,2006,65.0
ALB,Europe,2007,65.3
ALB,Europe,2008,65.7
ALB,Europe,2009,66.1
ALB,Europe,2010,66.7
ALB,Europe,2011,67.0
ALB,Europe,2012,67.7
ALB,Europe,2013,68.1
ALB,Europe,2014,68.3
ALB,Europe,2015,68.2
ALB,Europe,2016,68.3
ALB,Europe,2017,68.3
ALB,Europe,2018,68.4
ALB,Europe,2019,68.4
ALB,Europe,2020,67.2
ALB,Europe,2021,66.7
ARE,Eastern Mediterranean,2000,67.5
ARE,Eastern Mediterranean,2001,67.6
ARE,Eastern Mediterranean,2002,67.6
ARE,Eastern Mediterranean,2003,67.7
ARE,Eastern Mediterranean,2004,68.0
ARE,Eastern Mediterranean,2005,68.3
ARE,Eastern Mediterranean,2006,68.8
ARE,Eastern Mediterranean,2007,69.1
ARE,Eastern Mediterranean,2008,69.3
ARE,Eastern Mediterranean,2009,69.2
ARE,Eastern Mediterranean,2010,69.0
ARE,Eastern Mediterranean,2011,68.9
ARE,Eastern Mediterranean,2012,68.9
ARE,Eastern Mediterranean,2013,69.1
ARE,Eastern Mediterranean,2014,69.2
ARE,Eastern Mediterranean,2015,69.2
ARE,Eastern Mediterranean,2016,69.2
ARE,Eastern Mediterranean,2017,69.3
ARE,Eastern Mediterranean,2018,69.5
ARE,Eastern Mediterranean,2019,69.7
ARE,Eastern Mediterranean,2020,68.6
ARE,Eastern Mediterranean,2021,67.3
ARG,Americas,2000,64.7
ARG,Americas,2001,64.7
ARG,Americas,2002,64.7
ARG,Americas,2003,64.6
ARG,Americas,2004,65.1
ARG,Americas,2005,65.4
ARG,Americas,2006,65.6
ARG,Americas,2007,65.2
ARG,Americas,2008,65.7
ARG,Americas,2009,65.8
ARG,Americas,2010,65.8
ARG,Americas,2011,66.0
ARG,Americas,2012,66.2
ARG,Americas,2013,66.2
ARG,Americas,2014,66.4
ARG,Americas,2015,66.5
ARG,Americas,2016,66.2
ARG,Americas,2017,66.6
ARG,Americas,2018,66.8
ARG,Americas,2019,66.9
ARG,Americas,2020,66.2
ARG,Americas,2021,64.8
ARM,Europe,2000,63.0
ARM,Europe,2001,63.1
ARM,Europe,2002,63.0
ARM,Europe,2003,63.2
ARM,Europe,2004,63.5
ARM,Europe,2005,63.5
ARM,Europe,2006,63.5
ARM,Europe,2007,63.9
ARM,Europe,2008,63.9
ARM,Europe,2009,64.1
ARM,Europe,2010,64.3
ARM,Europe,2011,64.6
ARM,Europe,2012,64.9
ARM,Europe,2013,65.3
ARM,Europe,2014,65.3
ARM,Europe,2015,65.4
ARM,Europe,2016,65.5
ARM,Europe,2017,66.1
ARM,Europe,2018,66.4
ARM,Europe,2019,66.5
ARM,Europe,2020,61.0
ARM,Europe,2021,64.0
ATG,Americas,2000,64.9
ATG,Americas,2001,65.1
ATG,Americas,2002,65.3
ATG,Americas,2003,65.5
ATG,Americas,2004,65.6
ATG,Americas,2005,65.7
ATG,Americas,2006,65.7
ATG,Americas,2007,65.3
ATG,Americas,2008,65.4
ATG,Americas,2009,65.7
ATG,Americas,2010,65.8
ATG,Americas,2011,65.8
ATG,Americas,2012,65.8
ATG,Americas,2013,65.9
ATG,Americas,2014,65.8
ATG,Americas,2015,65.8
ATG,Americas,2016,65.7
ATG,Americas,2017,65.7
ATG,Americas,2018,65.8
ATG,Americas,2019,65.8
ATG,Americas,2020,67.1
ATG,Americas,2021,66.5
AUS,Western Pacific,2000,68.1
AUS,Western Pacific,2001,68.4
AUS,Western Pacific,2002,68.4
AUS,Western Pacific,2003,68.7
AUS,Western Pacific,2004,68.8
AUS,Western Pacific,2005,68.8
AUS,Western Pacific,2006,69.0
AUS,Western Pacific,2007,69.2
AUS,Western Pacific,2008,69.2
AUS,Western Pacific,2009,69.5
AUS,Western Pacific,2010,69.6
AUS,Western Pacific,2011,69.7
AUS,Western Pacific,2012,69.9
AUS,Western Pacific,2013,70.1
AUS,Western Pacific,2014,70.1
AUS,Western Pacific,2015,70.0
AUS,Western Pacific,2016,70.3
AUS,Western Pacific,2017,70.3
AUS,Western Pacific,2018,70.5
AUS,Western Pacific,2019,70.3
AUS,Western Pacific,2020,70.7
AUS,Western Pacific,2021,70.6
AUT,Europe,2000,67.6
AUT,Europe,2001,68.0
AUT,Europe,2002,68.0
AUT,Europe,2003,67.9
AUT,Europe,2004,68.3
AUT,Europe,2005,68.4
AUT,Europe,2006,68.8
AUT,Europe,2007,69.0
AUT,Europe,2008,69.2
AUT,Europe,2009,69.1
AUT,Europe,2010,69.4
AUT,Europe,2011,69.6
AUT,Europe,2012,69.6
AUT,Europe,2013,69.8
AUT,Europe,2014,70.0
AUT,Europe,2015,69.9
AUT,Europe,2016,70.2
AUT,Europe,2017,70.2
AUT,Europe,2018,70.3
AUT,Europe,2019,70.4
AUT,Europe,2020,69.9
AUT,Europe,2021,69.8
AZE,Europe,2000,57.8
AZE,Europe,2001,58.7
AZE,Europe,2002,59.1
AZE,Europe,2003,59.2
AZE,Europe,2004,59.7
AZE,Europe,2005,59.8
AZE,Europe,2006,60.1
AZE,Europe,2007,61.4
AZE,Europe,2008,61.0
AZE,Europe,2009,61.6
AZE,Europe,2010,61.9
AZE,Europe,2011,62.4
AZE,Europe,2012,63.1
AZE,Europe,2013,63.8
AZE,Europe,2014,64.3
AZE,Europe,2015,65.0
AZE,Europe,2016,65.2
AZE,Europe,2017,65.7
AZE,Europe,2018,66.1
AZE,Europe,2019,66.6
AZE,Europe,2020,63.0
AZE,Europe,2021,64.0
BDI,Africa,2000,38.8
BDI,Africa,2001,39.8
BDI,Africa,2002,40.8
BDI,Africa,2003,41.8
BDI,Africa,2004,43.1
BDI,Africa,2005,44.3
BDI,Africa,2006,47.8
BDI,Africa,2007,49.1
BDI,Africa,2008,50.3
BDI,Africa,2009,51.1
BDI,Africa,2010,51.9
BDI,Africa,2011,52.7
BDI,Africa,2012,53.3
BDI,Africa,2013,53.9
BDI,Africa,2014,54.4
BDI,Africa,2015,54.7
BDI,Africa,2016,55.2
BDI,Africa,2017,55.6
BDI,Africa,2018,55.9
BDI,Africa,2019,56.2
BDI,Africa,2020,56.4
BDI,Africa,2021,55.8
BEL,Europe,2000,67.2
BEL,Europe,2001,67.4
BEL,Europe,2002,67.4
BEL,Europe,2003,67.5
BEL,Europe,2004,67.9
BEL,Europe,2005,67.9
BEL,Europe,2006,68.2
BEL,Europe,2007,68.4
BEL,Europe,2008,68.4
BEL,Europe,2009,68.6
BEL,Europe,2010,68.6
BEL,Europe,2011,68.8
BEL,Europe,2012,68.8
BEL,Europe,2013,69.0
BEL,Europe,2014,69.5
BEL,Europe,2015,69.4
BEL,Europe,2016,69.6
BEL,Europe,2017,69.7
BEL,Europe,2018,69.8
BEL,Europe,2019,70.1
